3290,32.2%
3293,32.4%
3299,32.6%
3312,32.7%
3316,32.8%
3317,32.9%
3318,33.0%
3320,33.2%
3322,33.3%
3328,33.4%
3333,33.5%
3338,33.6%
3345,33.7%
3348,33.8%
3353,34.0%
3355,34.1%
3360,34.6%
3368,34.8%
3373,35.0%
3379,35.3%
3383,35.4%
3389,35.5%
3392,35.6%
3393,35.8%
3395,35.9%
3401,36.2%
3404,36.3%
3413,36.7%
3416,36.6%
3419,36.8%
3421,36.7%
3423,36.8%
3426,36.9%
3431,37.1%
3432,37.2%
3439,37.3%
3440,37.4%
3441,37.5%
3445,37.8%
3448,38.0%
3453,38.1%
3462,38.3%
3468,38.5%
3471,38.6%
3472,38.7%
3475,38.8%
3477,38.9%
3478,38.8%
3479,38.9%
3482,38.8%
3483,38.9%
3485,39.0%
3486,39.1%
3490,39.2%
3498,39.3%
3499,39.4%
3505,39.5%
3507,39.7%
3508,39.9%
3509,40.0%
3511,40.1%
3514,40.3%
3519,40.4%
3524,40.5%
3526,40.6%
3531,40.7%
3541,40.9%
3543,41.0%
3545,41.2%
3547,41.3%
3550,41.4%
3554,41.5%
3556,41.6%
3557,41.8%
3560,42.0%
3564,42.1%
3570,42.2%
3576,42.3%
3582,42.2%
3583,42.4%
3587,42.5%
3589,42.6%
3591,42.7%
3597,42.9%
3604,43.0%
3613,43.6%
3621,43.7%
3632,43.8%
3634,43.9%
3637,44.0%
3641,44.1%
3644,44.3%
3650,44.5%
3654,44.6%
3658,44.7%
3660,44.6%
3665,44.7%
3668,44.8%
3675,44.9%
3679,45.0%
3684,45.1%
3685,45.2%
3687,45.3%
3689,45.4%
3699,45.5%
3702,45.6%
3704,45.7%
3713,45.8%
3716,45.9%
3718,46.1%
3719,46.2%
3724,46.4%
3729,46.5%
3731,46.6%
3732,46.5%
3735,46.6%
3739,46.7%
3743,46.8%
3746,46.9%
3749,47.0%
3762,47.3%
3766,47.5%
3770,47.6%
3773,47.7%
3777,47.8%
3781,48.0%
3782,47.9%
3784,48.0%
3794,48.1%
3798,48.3%
3799,48.4%
3802,48.3%
3803,48.5%
3804,48.6%
3806,48.7%
3807,48.8%
3808,48.7%
3809,48.8%
3814,49.0%
3819,49.1%
3821,49.2%
3825,49.3%
3831,49.5%
3834,49.7%
3836,49.8%
3839,49.9%
3845,50.0%
3850,50.1%
3851,50.0%
3852,50.1%
3856,50.2%
3857,50.1%
3858,50.2%
3863,50.3%
3873,50.4%
3876,50.5%
3878,50.6%
3879,50.7%
3882,50.8%
3884,51.0%
3888,51.1%
3890,51.2%
3892,51.3%
3903,51.5%
3910,51.6%
3914,51.7%
3916,51.6%
3918,51.7%
3923,51.8%
3924,52.0%
3929,52.1%
3930,52.2%
3941,52.3%
3945,52.2%
3947,52.3%
3951,52.4%
3952,52.5%
3956,52.6%
3960,52.7%
3961,52.8%
3962,52.9%
3963,52.8%
3964,52.9%
3968,52.8%
3969,52.9%
3973,53.1%
3975,53.2%
3980,53.3%
3981,53.4%
3984,53.5%
3989,53.6%
3991,53.7%
3992,53.9%
3994,54.0%
3995,54.2%
3999,54.4%
4006,54.6%
4011,54.5%
4012,54.6%
4015,54.7%
4018,54.8%
4019,54.7%
4020,54.8%
4022,54.9%
4030,55.0%
4032,55.1%
4039,55.2%
4044,55.3%
4048,55.4%
4050,55.5%
4051,55.4%
4052,55.5%
4054,55.6%
4057,55.7%
4060,55.8%
4062,56.0%
4063,56.1%
4072,56.2%
4077,56.6%
4079,56.8%
4091,56.9%
4094,57.1%
4095,57.3%
4099,57.4%
4104,57.5%
4108,57.6%
4112,57.7%
4116,57.8%
4117,57.7%
4119,57.8%
4120,57.9%
4125,58.2%
4137,58.3%
4140,58.4%
4144,58.5%
4145,58.6%
4148,58.7%
4149,58.6%
4151,58.8%
4169,58.9%
4170,59.0%
4174,59.1%
4177,59.3%
4178,59.2%
4180,59.3%
4188,59.6%
4201,60.0%
4205,60.1%
4206,60.3%
4207,60.4%
4210,60.5%
4213,60.6%
4215,60.7%
4216,60.8%
4223,60.9%
4226,61.0%
4229,61.1%
4230,61.2%
4231,61.1%
4232,61.2%
4234,61.3%
4235,61.4%
4238,61.5%
4240,61.6%
4248,61.7%
4250,61.8%
4251,61.9%
4257,62.1%
4259,62.2%
4263,62.3%
4264,62.4%
4268,62.5%
